Sport,SrcAddr,Dport,DstAddr,StartTime,Dur,Proto,State,SrcPkts,DstPkts,SrcBytes,DstBytes,Rate,SrcLoad,DstLoad,SrcLoss,DstLoss,SIntPkt,DIntPkt,SrcJitter,DstJitter,TcpRtt,sMeanPktSz
43848,117.11.88.124,http,24.49.63.79,1701369808.295579,4.503816,tcp,CON,10,6,1989,2683,3.330509,3181.302246,3971.742920,0,0,,,,,0.000243,198.899994
60240,117.11.88.124,http,24.49.63.79,1701369812.753789,0.000622,tcp,CON,4,3,588,488,9646.301758,5672025.500000,4192926.000000,0,0,,,,,0.000192,147.000000
60240,117.11.88.124,http,24.49.63.79,1701369817.754497,0.000293,tcp,FIN,2,1,132,66,6825.938965,1802047.875000,0.000000,0,0,,,,,0.000192,66.000000
43848,117.11.88.124,http,24.49.63.79,1701369817.754546,0.000296,tcp,FIN,2,1,132,66,6756.756348,1783783.750000,0.000000,0,0,,,,,0.000243,66.000000
49896,117.11.88.124,http,24.49.63.79,1701369820.714442,0.321198,tcp,CON,4,3,656,1046,18.680067,12254.124023,17384.916016,0,0,,,,,0.000345,164.000000
49896,117.11.88.124,http,24.49.63.79,1701369826.036027,0.000242,tcp,FIN,2,1,132,66,8264.462891,2181818.250000,0.000000,0,0,,,,,0.000345,66.000000
49902,117.11.88.124,http,24.49.63.79,1701369826.697310,0.113801,tcp,CON,4,3,655,910,52.723614,34586.691406,42670.976562,0,0,,,,,0.000388,163.750000
49902,117.11.88.124,http,24.49.63.79,1701369831.811415,0.000280,tcp,FIN,2,1,132,66,7142.856934,1885714.250000,0.000000,0,0,,,,,0.000388,66.000000
48796,117.11.88.124,http,24.49.63.79,1701369835.217750,0.001435,tcp,CON,4,3,1510,430,4181.184570,6316376.500000,1600000.000000,0,0,,,,,0.000208,377.500000
48796,117.11.88.124,http,24.49.63.79,1701369840.219730,0.000382,tcp,FIN,2,1,132,66,5235.602051,1382199.000000,0.000000,0,0,,,,,0.000208,66.000000
47580,117.11.88.124,http,24.49.63.79,1701369858.053341,0.001223,tcp,CON,4,3,1508,436,4905.968750,7398201.000000,1903516.000000,0,0,,,,,0.000257,377.000000
47580,117.11.88.124,http,24.49.63.79,1701369863.055137,0.000278,tcp,FIN,2,1,132,66,7194.244629,1899280.625000,0.000000,0,0,,,,,0.000257,66.000000
36270,117.11.88.124,http,24.49.63.79,1701369865.830910,0.003216,tcp,CON,4,3,622,698,1865.671631,1161691.500000,1159204.000000,0,0,,,,,0.000213,155.500000
36270,117.11.88.124,http,24.49.63.79,1701369870.834277,0.000370,tcp,FIN,2,1,132,66,5405.405273,1427027.000000,0.000000,0,0,,,,,0.000213,66.000000
59340,117.11.88.124,http,24.49.63.79,1701369871.351492,0.003414,tcp,CON,4,3,616,698,1757.469238,1082601.125000,1091974.250000,0,0,,,,,0.000258,154.000000
59340,117.11.88.124,http,24.49.63.79,1701369876.356113,0.000253,tcp,FIN,2,1,132,66,7905.138184,2086956.500000,0.000000,0,0,,,,,0.000258,66.000000
59350,117.11.88.124,http,24.49.63.79,1701369877.159191,0.892080,tcp,CON,4,3,615,698,6.725854,4143.125977,4178.997559,0,0,,,,,0.000261,153.750000
