ts,uid,srcip,sport,dstip,dsport,service,proto,trans_depth,is_sm_ips_ports,ct_flw_http_mthd,is_ftp_login
"1701369808.300405","CQ6ohM2WYUBxzLtDO","117.11.88.124",43848,"24.49.63.79",80,"http","\x2d",1,0,1,0
"1701369808.333066","CQ6ohM2WYUBxzLtDO","117.11.88.124",43848,"24.49.63.79",80,"http","\x2d",2,0,2,0
"1701369812.730884","CQ6ohM2WYUBxzLtDO","117.11.88.124",43848,"24.49.63.79",80,"http","\x2d",3,0,3,0
"1701369812.753617","CQ6ohM2WYUBxzLtDO","117.11.88.124",43848,"24.49.63.79",80,"http","\x2d",4,0,4,0
"1701369812.754083","CVya6d1xouUtvaz1Z7","117.11.88.124",60240,"24.49.63.79",80,"http","\x2d",1,0,5,0
"1701369821.035029","C8oMIr1a15KSHid2Ob","117.11.88.124",49896,"24.49.63.79",80,"http","\x2d",1,0,6,0
"1701369812.753789","CVya6d1xouUtvaz1Z7","117.11.88.124",60240,"24.49.63.79",80,"http","tcp",0,0,0,0
"1701369808.295579","CQ6ohM2WYUBxzLtDO","117.11.88.124",43848,"24.49.63.79",80,"http","tcp",0,0,0,0
"1701369826.810491","CnM0UiK0FSTjvavi6","117.11.88.124",49902,"24.49.63.79",80,"http","\x2d",1,0,7,0
"1701369820.714442","C8oMIr1a15KSHid2Ob","117.11.88.124",49896,"24.49.63.79",80,"http","tcp",0,0,0,0
"1701369835.218060","CwtGIr8AV0EQUC87f","117.11.88.124",48796,"24.49.63.79",80,"http","\x2d",1,0,8,0
"1701369826.697310","CnM0UiK0FSTjvavi6","117.11.88.124",49902,"24.49.63.79",80,"http","tcp",0,0,0,0
"1701369835.217750","CwtGIr8AV0EQUC87f","117.11.88.124",48796,"24.49.63.79",80,"http","tcp",0,0,0,0
"1701369858.053722","CXMeqr44HusgXvOz4g","117.11.88.124",47580,"24.49.63.79",80,"http","\x2d",1,0,9,0
"1701369865.833653","CU2cZc3zzEZKojIizl","117.11.88.124",36270,"24.49.63.79",80,"http","\x2d",1,0,10,0
"1701369858.053341","CXMeqr44HusgXvOz4g","117.11.88.124",47580,"24.49.63.79",80,"http","tcp",0,0,0,0
"1701369871.354415","CVVfqF2tg3JeeNkAua","117.11.88.124",59340,"24.49.63.79",80,"http","\x2d",1,0,11,0
"1701369865.830910","CU2cZc3zzEZKojIizl","117.11.88.124",36270,"24.49.63.79",80,"http","tcp",0,0,0,0
"1701369878.050820","CVexhH1h7apjwylZu1","117.11.88.124",59350,"24.49.63.79",80,"http","\x2d",1,0,12,0
"1701369871.351492","CVVfqF2tg3JeeNkAua","117.11.88.124",59340,"24.49.63.79",80,"http","tcp",0,0,0,0
"1701369883.496766","Cnoc3t44ztvWHAGtl","117.11.88.124",50118,"24.49.63.79",80,"http","\x2d",1,0,13,0
"1701369883.502589","Cnoc3t44ztvWHAGtl","117.11.88.124",50118,"24.49.63.79",80,"http","\x2d",2,0,14,0
"1701369883.523722","Cnoc3t44ztvWHAGtl","117.11.88.124",50118,"24.49.63.79",80,"http","\x2d",3,0,15,0
"1701369883.524469","CuGhldJRJ3DzjfqNl","117.11.88.124",50122,"24.49.63.79",80,"http","\x2d",1,0,16,0
"1701369883.524797","CrXVzg18UH0xobZ24g","117.11.88.124",50134,"24.49.63.79",80,"http","\x2d",1,0,17,0
"1701369877.159191","CVexhH1h7apjwylZu1","117.11.88.124",59350,"24.49.63.79",80,"http","tcp",0,0,0,0
"1701369892.446126","CGir0s30guBq9DAxq9","117.11.88.124",46658,"24.49.63.79",80,"http","\x2d",1,0,18,0
"1701369883.524570","CrXVzg18UH0xobZ24g","117.11.88.124",50134,"24.49.63.79",80,"http","tcp",0,0,0,0
"1701369883.493970","Cnoc3t44ztvWHAGtl","117.11.88.124",50118,"24.49.63.79",80,"http","tcp",0,0,0,0
"1701369883.524034","CuGhldJRJ3DzjfqNl","117.11.88.124",50122,"24.49.63.79",80,"http","tcp",0,0,0,0
"1701369999.668239","CHyadE2LgXGf64LCYl","24.49.63.79",54438,"117.11.88.124",443,"http","\x2d",1,0,1,0
"1701370096.684805","C7dM1L9GOB4CEcaia","117.11.88.124",45256,"24.49.63.79",80,"http","\x2d",1,0,19,0
"1701370096.696148","C7dM1L9GOB4CEcaia","117.11.88.124",45256,"24.49.63.79",80,"http","\x2d",2,0,20,0
"1701370096.697138","C4tztr3jFcoWEHnt7g","117.11.88.124",45268,"24.49.63.79",80,"http","\x2d",1,0,21,0
"1701370096.697465","ChvREoT6BI5xXKQC6","117.11.88.124",45282,"24.49.63.79",80,"http","\x2d",1,0,22,0
"1701370096.696855","C4tztr3jFcoWEHnt7g","117.11.88.124",45268,"24.49.63.79",80,"http","tcp",0,0,0,0
"1701370096.697250","ChvREoT6BI5xXKQC6","117.11.88.124",45282,"24.49.63.79",80,"http","tcp",0,0,0,0
"1701369999.662638","CHyadE2LgXGf64LCYl","24.49.63.79",54438,"117.11.88.124",443,"http","tcp",0,0,0,0
"1701369892.449547","C88Pmh18XrNhTbt6o9","24.49.63.79",54448,"117.11.88.124",8080,"\x2d","tcp",0,0,0,0
"1701370096.684415","C7dM1L9GOB4CEcaia","117.11.88.124",45256,"24.49.63.79",80,"http","tcp",0,0,0,0
"1701369892.021317","CGir0s30guBq9DAxq9","117.11.88.124",46658,"24.49.63.79",80,"http","tcp",0,0,0,0
