2024-10-23 19:54:57 DEBUG cic.cs.unb.ca.flow.ui.FlowOfflinePane    offline select input /home/enigma/Downloads/amp.TCP.reflection.SYNACK.pcap
2024-10-23 19:55:09 DEBUG cic.cs.unb.ca.flow.ui.FlowOfflinePane    offline select output /home/enigma/work/tsyp
2024-10-23 19:55:11 DEBUG cic.cs.unb.ca.jnetpcap.worker.ReadPcapFileWorker    Working on... /home/enigma/Downloads/amp.TCP.reflection.SYNACK.pcap
2024-10-23 19:55:11 DEBUG cic.cs.unb.ca.jnetpcap.PacketReader    Read All packets on /home/enigma/Downloads/amp.TCP.reflection.SYNACK.pcap
2024-10-23 20:07:18 DEBUG cic.cs.unb.ca.flow.ui.FlowOfflinePane    offline select input /home/enigma/Downloads/nmap.pcap
2024-10-23 20:07:25 DEBUG cic.cs.unb.ca.flow.ui.FlowOfflinePane    offline select output /home/enigma/work/tsyp
2024-10-23 20:07:26 DEBUG cic.cs.unb.ca.jnetpcap.worker.ReadPcapFileWorker    Working on... /home/enigma/Downloads/nmap.pcap
2024-10-23 20:07:26 INFO  cic.cs.unb.ca.jnetpcap.FlowGenerator    Forward flow closed due to FIN Flag
2024-10-23 20:07:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 4 flow
2024-10-23 20:07:26 INFO  cic.cs.unb.ca.jnetpcap.FlowGenerator    Forward flow closed due to FIN Flag
2024-10-23 20:07:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 6 flow
2024-10-23 20:07:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 8 flow
2024-10-23 20:07:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 18 flow
2024-10-23 20:07:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 17 flow
2024-10-23 20:07:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 16 flow
2024-10-23 20:07:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 23 flow
2024-10-23 20:07:26 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagRST current has 22 flow
